macho_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,class
1.3444.1268,-1.255052,-5.214830999999999,0.02756627,-271.8181,851546.8,-1.252528,-5.108098,0.01271857,-294.5486,2594065.0,0.034115873,2.079464979,0.002380952,1.242589495,1.047657095,-0.111,0.29191492399999996,236.41777180000003,0.459100801,0,0,0.0304777,2.0732985459999997,0.0017699120000000002,1.219191361,1.561028766,-0.111,0.291912966,99.29705491,0.45305510299999996,0,0,6
1.3445.28,0.111404,-8.093655,12.898530000000001,-827.1155,391.4867,-0.03041504,-9.054556,79.29844,-1180.9660000000001,134.8035,0.034684356,0.144309334,0.025531915,19.774115600000002,3.2790765139999998,0.963,108.9139111,438.138041,0.55911367,56,100,0.022577084,0.102689141,0.030042918999999998,20.00386283,3.9235312860000002,0.963,108.71430090000001,276.1194368,0.576927223,34,63,9
1.3445.1179,1.504597,-5.087974,0.0357869,-67.97291,411891.5,1.022047,-5.131826,0.038938,-200.6714,1812756.0,0.044069942,2.062986405,0.002692998,1.751648453,1.286513821,0.047,0.37450013600000004,235.9090162,0.463242584,0,0,0.034947339,1.8850433690000001,0.00170068,1.838904945,1.611683575,0.047,0.374516621,63.86308926,0.49741205,1,1,6
1.3445.1197,3.44274,-4.971241,0.005511415,-49.97934,5146265.0,3.6209290000000003,-4.91186,0.002370617,-187.5427,290688700.0,0.044984885999999995,2.033116979,0.0,1.155221138,1.214805408,-0.052000000000000005,0.319348723,223.3529673,0.452364706,0,0,0.037478195,2.079475419,0.0,1.26021477,0.7677694559999999,-0.052000000000000005,0.24189619199999998,89.23225617,0.46343507,0,0,6
1.3445.1369,1.321222,-4.924076,0.03127625,119.22399999999999,87054.38,0.17486949999999998,-4.97359,1.098135,-47.105,468.1527,0.060075557,1.89884169,0.003710575,0.955984617,1.4183111830000001,0.07200000000000001,0.319618317,103.0572429,0.452277906,0,0,0.048148447000000004,1.8271402680000002,0.001547988,0.9492532359999999,1.672546734,0.07200000000000001,0.31963368600000003,53.78238042,0.46677357,0,0,6
1.3446.1877,1.445466,-4.965572,0.03694507,-81.54091,116057.3,0.8076085999999999,-4.996457,0.04997534,-473.07300000000004,39054.13,0.044794635,2.0818868530000003,0.00088968,1.5332268740000001,1.325203612,0.03,0.5998100279999999,173.96068569999997,0.457151143,0,1,0.032739323,1.9676076880000002,0.002608696,1.571252492,1.683084108,0.03,0.599744093,246.4496002,0.459517125,1,0,6
1.3446.2073,1.47933,-4.7671,0.02822897,-166.1741,224400.3,0.9412423000000001,-4.783547,0.03251426,-501.4155,93632.53,0.043111419000000005,1.987092765,0.000914077,1.617704917,1.309748514,0.023,0.35231257899999996,235.37959930000002,0.46578364,0,0,0.032744615,1.9365116080000002,0.00181653,1.6219507380000002,1.382149513,0.023,0.352299636,249.0766901,0.462031619,0,0,6
1.3447.36,0.42120870000000005,-7.78758,0.5259132,-238.0489,65802.86,0.29255159999999997,-8.128454,0.5143506,-675.5989999999999,76518.4,0.028678798,1.9450318219999998,0.0,29.39794171,1.184321999,0.344,3.790431292,343.22742200000005,0.438053963,0,0,0.018756354,1.92169739,0.0,29.68082018,1.327253608,0.344,3.790901102,283.70025350000003,0.464614741,0,0,5
1.3447.1254,1.213378,-4.46382,0.02937012,-190.0249,363671.0,0.9942791999999999,-4.596387,0.02467275,-318.2586,410247.9,0.039858397999999996,2.027783812,0.0,1.096212346,1.034718205,0.122,0.30657514199999997,93.50610113,0.468439599,0,0,0.029884137999999998,1.991868762,0.001811594,0.884267893,1.625348075,0.122,0.30657514199999997,71.13548027,0.479729367,0,1,6
1.3448.13,0.1945723,-9.198699000000001,3.178137,-469.4006,33689.55,0.1421998,-9.59147,3.0618849999999997,-856.6419999999999,31910.58,0.028186338,1.0692801859999999,0.0,94.6753198,1.8841105809999998,0.392,12.183712,569.8643717,0.508332488,1,4,0.019433184,1.0190743340000001,0.0,97.05302131,1.8217446769999999,0.392,12.21007972,396.98226980000004,0.5243609610000001,0,0,5
